"Line Item Text","Category"
"Pharmacy: medicines ₹300","Health"
"Dominos: 2 pizzas and cheesy bread ₹800","Food"
"Bus ticket to work ₹20","Travel"
"Electricity bill payable to BESCOM ₹1100","Utilities"
"Youtube Premium monthly fee ₹129","Entertainment"
"Doctor's consultation fee ₹500","Health"
"Monthly Groceries from DMart ₹1500","Groceries"
"Coursera subscription renewal ₹3500","Education"
"Flipkart order: sandals ₹799","Shopping"
"Therapy session for anxiety $80","Health"
"Zomato delivery: noodles and coke ₹250","Food"
"Ola ride to the office $7.50","Travel"
"Gas bill from IGL ₹550","Utilities"
"Apple TV movie rental ₹150","Entertainment"
"Dental cleaning and checkup $65","Health"
"Groceries from local store ₹400","Groceries"
"BYJU'S subscription ₹2500","Education"
"Myntra order #2134: dress ₹1599","Shopping"
"Physiotherapy session #4 $45","Health"
"McDonald's Big Mac meal ₹290","Food"
"Airport shuttle bus fare ₹150","Travel"
"Airtel Postpaid Bill for August ₹599","Bills"
"Reliance Fresh: vegetables & fruits ₹350","Groceries"
"Tutor fee for maths ₹1000","Education"
"Westside: scarf and blouse ₹1100","Shopping"
"MRI scan at diagnostics lab ₹2000","Health"
"Pizza Hut: family meal deal ₹950","Food"
"Inter-city bus ticket $20","Travel"
"Gas cylinder refill ₹950","Utilities"
"Amazon Prime Video subscription ₹149","Entertainment"
"Blood test at SRL diagnostics ₹800","Health"
"Kirana store shopping ₹300","Groceries"
"Khan Academy Gold subscription $10","Education"
"H&M: scarf and blouse ₹1100","Shopping"
"Medical checkup at clinic ₹600","Health"
"KFC burger and fries ₹250","Food"
"Train travel to hometown ₹400","Travel"
"Water Bill for flat #12 ₹420","Utilities"
"Airtel Xstream Fiber bill ₹799","Bills"
"Big Basket: fruits and juices ₹550","Groceries"
"School fees for October ₹3000","Education"
"Flipkart: headphone purchase ₹1899","Shopping"
"Dr. Patel consultation fee ₹500","Health"
"Ola ride to Airport INR240","Travel"
"flipkart: Samsung Galaxy M31 - Rs.15499","Shopping"
"power bill - bses ₹1300","Utilities"
"big bazaar grocery - 2kg rice, $3.50","Groceries"
"Movie tkts PVR 3DX Rs.1100","Entertainment"
"Bookmyshow SPIDERMAN ticket 750","Entertainment"
"Uber Pool: Home>>Station 179 Rupees","Travel"
"Airtel Card recharge 349INR","Utilities"
"kfc - 6pc hotwings, 2 fries ₹590","Food"
"APOLLO PHARMACY bill no 778223 ₹1950","Health"
"swiggy: icecream sundae Rs.120","Food"
"IRCTC ticket AGC to NDL 410","Travel"
"Snapdeal wrist Watch Rs.799","Shopping"
"vodafone bill JUN 2025 999INR","Bills"
"Fresh Veg - Bigbasket Rs.420","Groceries"
"Dominos pizza - 2 large, coke 649","Food"
"Dr. Sharma conslt fee 850","Health"
"Uber Eats bhel-puri ₹70/-","Food"
"Amazonbasics HDMI cable $8.99","Shopping"
"Narula's monthly store groceries INR1054","Groceries"
"swiggy-- PAV BHAJI 225","Food"
"train ticket: vizag-chn PMD Rs370.50","Travel"
"Recharge vodafone Prepaid 299","Utilities"
"Titan Men's watch flipkart Rs.2599","Shopping"
"apple music subscription 99rs","Entertainment"
"reliance energy bill 1550 INR","Bills"
"Mumbai local pass 1 month Rs 600","Travel"
"Dr. singh - med consult: 400 rs.","Health"
"Reliance fresh - dal, atta, choco 615","Groceries"
"pvr gold ticket- INR 850","Entertainment"
"school fee - APRIL Rs.15000","Education"
"Amul Butter 500g ₹245, BB Daily","Groceries"
"book: atomic habits - Amazon 299Rs","Education"
"MNGL gas bill ₹634","Utilities"
"UberGo home to Gym - Rs 86","Travel"
"Tata Sky recharge 399INR","Utilities"
"bookmyshow Mirzapur S2 399","Entertainment"
"Recharge- Airtel, ₹249/-","Utilities"
"swiggy KFC thali 418 rs","Food"
"croma pen-drive 32gb Rs.520","Shopping"
"aurveda wellness massage ₹1050","Health"
"Grofers: Apple Fuji x6 ₹145","Groceries"
"feni bottle goa Rs.520","Miscellaneous"
"dr. varun gpt consultation 600rs","Health"
"Jaypee Greens maintenance bill rs 2350/-","Bills"
"Flipkart Smart Shoes Rs.1499","Shopping"
"Recharge ACT Fibernet Rs.1234","Utilities"
"Pizza hut - Dbl cheese pan ₹500","Food"
"doctor's prescription fee Rs:350","Health"
"Intercity cab Pune to Mumbai - 2750rs","Travel"
"petrol pump IOC gujarat 1040","Miscellaneous"
"swiggy - samosa INR92","Food"
"vodafone data plan 299INR","Utilities"
"Hyundai car service bill ₹8,400","Miscellaneous"
"WATER BILL 2Q25 404","Bills"
"air india flight DEL-BLR 8,920","Travel"
"school shoes Bata Rs.699","Shopping"
"future bazaar grocery Rs.450","Groceries"
"Recharge: BSNL Rs.199/-","Utilities"
"DTDC courier chennai 135 INR","Miscellaneous"
"StarBucks latte - Rs.320","Food"
"pvr popcorn and coke 210","Entertainment"
"Nature's Basket olive oil 498","Groceries"
"Anand grocery mart - pulses, Rs.242.7","Groceries"
"apple.com icloud 75₹ mo.","Entertainment"
"Home tutoring - math, 2hrs, 900 Rs","Education"
"Paytm gas bill payment 968","Bills"
"cab share goa route rs380","Travel"
"Recharge Vi prepaid rs 219","Utilities"
"Amazon Diapers Pampers pack of 3 - $24.48","Shopping"
"Patanjali Chyawanprash Rs.310","Health"
"namdhari fruits apricot 320","Groceries"
"pizza hut bill - 489 rs","Food"
"UberAUTO to Kalyan, ₹79/-","Travel"
"dd national dth, 350 INR","Utilities"
"school books set (CBSE) 1280","Education"
"bookmyshow Live music, Rs.1600","Entertainment"
"McDonald's bill mcChicken x2 Rs 189","Food"
"dr.review session 1, 400rs","Health"
"Flipkart bedsheets Rs.849/-","Shopping"
"swiggi - Chowmein, momos - ₹310","Food"
"indian oil gas cyl 1213.50","Utilities"
"porter goods movement 700 INR","Miscellaneous"
"Reebok gym Tshirt Rs.1200","Shopping"
"Star supermarket rice/lentil/veg 899","Groceries"
"party Hall rent, 12pm-3pm, 3300","Miscellaneous"
"oxford English learntutor 600","Education"
"Airtel DTH 499 ₹","Utilities"
"iris eye checkup 890","Health"
"boAt wireless headphones Rs.1,599","Shopping"
"Netflix susbcription 649","Entertainment"
"Mumbai BEST bus pass 350","Travel"
"MCD - fries, mcfloat - ₹239","Food"
"grofers- Dettol soap, 68rs","Groceries"
"snapdeal kurti 499 inr","Shopping"
"Monu kirana sugar, maida 285","Groceries"
"mahindra finance EMI 7,800","Bills"
"OLA Share home->office 120","Travel"
"car cleaning monthly ₹650","Miscellaneous"
"new college registration fee 24500","Education"
"PayTM mall school bag - 795","Education"
"swigy chinese combo 265","Food"
"local market milk 40/-","Groceries"
"sbi credit card dues 13,775","Bills"
"Recharge Jio ₹499","Utilities"
"sports direct football Rs.1700","Shopping"
"tatasky channel pack 320rs","Utilities"
"Bhavana chemist doctor bill 1120","Health"
"SwiggY pav-bhaji ₹130","Food"
"hand sanitizer, mask Sanjay Medico ₹ 120","Health"
"Hyderabad express ticket Rs.850","Travel"
"Water tank cleaning 350","Miscellaneous"
"Uber Pool Offc-home 85","Travel"
"sonyliv subscription 299","Entertainment"
"school bus fee 2900","Education"
"FabIndia kurta ₹2,250/-","Shopping"
"Recharge Airtel ₹199/-","Utilities"
"Nescafe vending mach bill 1,500","Miscellaneous"
"FlipkarT jeans wrangler 1199","Shopping"
"Swiggy-Rajma Rice x 2 Rs.260","Food"
"Bigbasket - curd, spinach ₹90","Groceries"
"LIC insurance premium 2,970","Bills"
"ZMT Aloo Paratha ₹120","Food"
"dr.sumit path lab test 760","Health"
"Vodafone postpaid bill 1,240","Bills"
"Pizza hut bill-Rs.695","Food"
"tupperware water bottle 320 INR","Shopping"
"jetairways DEL-KOLKATA, 13,400","Travel"
"amul milk x2 116₹","Groceries"
"ncert math book ₹380","Education"
"Reliance Digital fan Rs.1890","Shopping"
"Punjab Power Bill, 1,500INR","Bills"
"SmartWater dispenser refill 189","Miscellaneous"
"BIGBAZAAR Sooji, pasta, Rs 324.5","Groceries"
"DR. SMITH DENTIST 420/-","Health"
"Lenskart sunglass ₹2,999","Shopping"
"Recharge Tata Power 720","Utilities"
"acme internet bill ₹809","Utilities"
"syndicate bank cheque book 120rs","Miscellaneous"
"train ticket - NDLS-LKO ₹535","Travel"
"BookMyShow Sholey RELOADED 1,100","Entertainment"
"DMart apples, lettuce, Rs186","Groceries"
"iBall mouse amazon Rs.325/-","Shopping"
"doctor appt. fee ₹250","Health"
"IRCTC-CNB-AGC 2A, 740rs","Travel"
"Airtel Xstream fiber 699","Utilities"
"loan EMI 5,900 pm","Bills"
"Jio Top-Up 149","Utilities"
"olx home decor lamp 680 rs","Miscellaneous"
"swiggy Veg Momos Rs.78","Food"
"Decathlon racket Rs.700","Shopping"
"NCERT Science Book, 270rs","Education"
"Tanishq gold coin 15,500","Miscellaneous"
"mumbai express IRCTC ticket ₹495","Travel"
"pizza express bill: 425/=","Food"
"FBB Kurti Rs.799","Shopping"
"Medical store Anacin - Rs.58","Health"
"Recharge vodafone Rs 199/-","Utilities"
"game zone tokens ₹300","Entertainment"
"urbanclap sofa clean ₹699","Miscellaneous"
"Bata chappal Rs.359/-","Shopping"
"Kirana: maggi, biscuit, milk ₹128","Groceries"
"sbi banking stmt print 40","Miscellaneous"
"vodafone broadband bill 499 rs.","Utilities"
"Lenskart Eye Checkup 150","Health"
"Amazon kindle ebook 299.00","Education"
"Lee jeans Myntra Rs.2,099","Shopping"
"Dr. Shilpa consult - 300/-","Health"
"grocery shop potatoes 50, soap 34","Groceries"
"Fastag recharge 650","Utilities"
"Daily taxi home-office 230","Travel"
"school note books 320 rs","Education"
"saregama carvaan - Rs.2990","Entertainment"
"Paytm Postpaid bill ₹2,100","Bills"
"Uber Eats Chicken Mayo Sandwich 180","Food"
"PG hostel monthly fees 3900","Bills"
"Samsung A07 mobile 12,999","Shopping"
"Vodafone bill - 560/-","Utilities"
"snapdeal bedsheet ₹699","Shopping"
"swiggi - dabeli 65","Food"
"chemist - Vicks 28.oo","Health"
"Tata Cliq office chair Rs.3,500","Shopping"
"Faasos Butter chicken roll rs.172","Food"
"Aakash classes coaching fee rs 11200","Education"
"Zomato: Gulabjamun x3 156","Food"
"BSES summer electric bill rs2387.50","Utilities"
"central mall - perfume 1,950","Shopping"
"Dr. Patel consultation fee ₹500","Health"
"IRCTC train tkt BLR-MAS Rs. 1240","Travel"
"FLIPKART: Samsung mobile, 14699.00INR","Shopping"
"McDonald's value meal 2 x 185 ₹370","Food"
"Big bazaar groceries 1487.50rs","Groceries"
"Uber trip to airport $15.86","Travel"
"apple music subs. Jul 2025 - 99 rs","Entertainment"
"Electricity Bill TNEB 3250","Utilities"
"Google classroom - Exam Fee ₹3000","Education"
"JioPrepaid rechrg 555/-","Utilities"
"Recharge AIRTEL 299","Utilities"
"ent BookMyShow Joker Movie ₹210","Entertainment"
"Grocery: rice, dal, eggs ₹364","Groceries"
"Vodafone bill - 670.43Rs","Bills"
"Wine shop Merlot Rs 1990","Miscellaneous"
"gym membership Nov ₹1200","Health"
"Reliance Trends T-shirt 899rs","Shopping"
"ct railways SL berth 788₹","Travel"
"doctor ganesh fees 400/-","Health"
"KFC Combo meal - Rs.559","Food"
"Fruit bazaar apples 250","Groceries"
"Shoppers Stop DRESS 3,299.00","Shopping"
"Amazon EchoDot 2899INR","Shopping"
"BSNL landline bill Aug 690/-","Utilities"
"Tata Sky HD topup-₹200","Entertainment"
"DOMINOS margherita pizza 379rs","Food"
"Faber-Castell pens - ₹45","Education"
"Pharmacy: Crocin, ORS, Glucon D 213.50","Health"
"Onlinesbi yatra.com flight ticket ₹7,850","Travel"
"PayTM recharged jio 299.0","Utilities"
"swiggy order FRIED RICE 210rs","Food"
"UberPool home>office ₹89","Travel"
"Apollo hospital blood test ₹840.55","Health"
"Subway sub du jour - 215/-","Food"
"Stationery: notebooks ₹120","Education"
"Electricity bill KSEB Rs. 2853","Utilities"
"Netflix subs 149.00","Entertainment"
"daily veggies spinach, potato 78rs","Groceries"
"IRCTC CANCELLATION FEE ₹60","Travel"
"flipcart shoes 2460","Shopping"
"house rent 32000₹","Bills"
"Reliance fresh grocery 234.55","Groceries"
"PEPSI X 2, ₹70","Food"
"Taxi (meru) to CAFE Rs.455","Travel"
"LG WashingMachine repair Rs.1690","Utilities"
"croma speaker 2,099 INR","Shopping"
"BATA mens sandal-799","Shopping"
"Ola micro trip 109rs","Travel"
"swigy biryani ₹199","Food"
"OYO hotels Delhi 3800 rs","Travel"
"Renewal Manipal insurance 2500","Health"
"Airtel Bill paid 670.50","Utilities"
"Pizza hut 459.60","Food"
"spar hypermarket total 813","Groceries"
"Amz Prime subs Jul'25 ₹179.00","Entertainment"
"water bill BWSSB ₹435","Utilities"
"Reliance DIGITAL Headphones 2599","Shopping"
"Dr Shalini consultation 750 INR","Health"
"snacks, tea Rs 62","Food"
"Ration: Wheat, sugar, tea 508Rs","Groceries"
"School uniform 900/-","Education"
"tomato, onion 39.5","Groceries"
"Electricity Bill ₹1689/-","Bills"
"Book: Calculus ₹289.00","Education"
"bill pay vodafone postpaid 499","Bills"
"kfc krushers 110Rs","Food"
"Ola Outstation Mys-Chennai ₹3689","Travel"
"starbucks cappucino X1 210","Food"
"medplus - Combiflam 97Rs","Health"
"BSES Rajdhani elec. 2370.20","Utilities"
"ICICI FASTag Toll ₹480","Travel"
"Nike socks pair - 280rs","Shopping"
"Hotel Taj dinner ₹1,825","Food"
"Nature's Basket vegetables 524.45","Groceries"
"Recharge Jio 239rs","Utilities"
"School fee 2nd Qtr ₹15,450.00","Education"
"Boat Bluetooth Earphones 1,299.00","Shopping"
"Razorpay BookMyShow 455₹","Entertainment"
"Uber Eats sushi set 629","Food"
"Mother Dairy milk - 59","Groceries"
"Gas BGHL 983","Utilities"
"Kalyan Jewellers silver ring ₹1,299","Shopping"
"Online tuition classes ₹890","Education"
"TBZ GoldMaking Charges 2000Rs","Miscellaneous"
"ZMT order paneer tikka 299","Food"
"Ndtv dance prog pass 700","Entertainment"
"Children's book fair ₹620","Education"
"Medlife order 1,128.40","Health"
"Pantaloons kurti 1460Rs","Shopping"
"Flipkart SmartBuy mouse ₹385","Shopping"
"VEG ONLY thali- 179/-","Food"
"Car wash AutoSpa ₹600","Miscellaneous"
"Reliance Digital new charger Rs.499","Shopping"
"Maruti Insurance renewal Rs 15,000","Bills"
"Bigbasket spices, cereal, milk 1,180","Groceries"
"Bus Pass BMTC 1050","Travel"
"Tajmahal tea powder - 185","Groceries"
"Park+ Parking Monthly 1200Rs","Miscellaneous"
"UberGo BLR Airport-drop ₹1077","Travel"
"FreshMenu pasta ₹309","Food"
"Sony LED TV 27490","Shopping"
"Smiles Dental Cleaning 2,800","Health"
"Apollo Glucose Meter 895","Health"
"Milk, eggs, bread 104","Groceries"
"spencers cheese 230","Groceries"
"Internet recharge ACT 1257","Utilities"
"Recharge Airtel Data 399.0","Utilities"
"JioSaavn pro month 89/-","Entertainment"
"Zomato pepperoni pizzza 409","Food"
"Book Chkout: Python ₹650","Education"
"Sangeetha mobiles - sim ₹299","Shopping"
"FirstCry kids dress ₹1,699.00","Shopping"
"pantene shampoo 215","Shopping"
"Grocery daily Milk, Besan, Bon-Bon 232","Groceries"
"Home WiFi bill ₹705.23","Utilities"
"Ola mini, citycentre-mall Rs.210","Travel"
"Amul butter 52.5rs","Groceries"
"Sony Liv renew 299","Entertainment"
"EyeCheck Dr. Gupta ₹550","Health"
"PVR tickets (2) 340","Entertainment"
"Airtel Fiber 12mo. plan ₹7,999","Utilities"
"Holiday inn stay Pune ₹14,500","Travel"
"DMart groceries fruits, snacks ₹2,233","Groceries"
"HP gas refill 1,060Rs","Utilities"
"SG mobile cover 299","Shopping"
"BirYani Bliss Zomato 2x180=360","Food"
"Bata - school shoes 549","Shopping"
"OYO Room 3 nights 3946","Travel"
"Pampers diapers pack 599Rs","Shopping"
"Recharge Tata Sky 357/-","Entertainment"
"ICICI credit card bill 8,950.54","Bills"
"Spectacles LensKart ₹1890.0","Health"
"Shoppers Stop - linen pant 1699INR","Shopping"
"Curry House lunch ₹430","Food"
"Croma Laptop sleeve 999","Shopping"
"Kidzee fee Jul 7,800.00","Education"
"VodafoneDataPack 449.00","Utilities"
"PitStop car battery ₹6150","Miscellaneous"
"Dosa point 5 dosas ₹250","Food"
"Apple store charger 1999.00","Shopping"
"Recharge VI 209","Utilities"
"BookScrib: French ₹420","Education"
"Cafe Coffee Day cappu 120","Food"
"Dr. Muthu ortho 800/-","Health"
"Movie BMS Interstellar ₹295","Entertainment"
"patanjali soap X3 = 102","Shopping"
"Ezone smartfan 2590.0","Shopping"
"Travel IRCTC tatkal BLR-CHN 1985","Travel"
"Big bazar March groceries 1386.75","Groceries"
"Tablez mini fridge ₹7,799.00","Shopping"
"OYO Stay Mysore 2200","Travel"
"ajio hoodie 1190 Rs.","Shopping"
"hp ink cartridge 762/-","Shopping"
"Courier Bluedart to Kol 340","Miscellaneous"
"Uber Mumbai-Bandra 547","Travel"
"Domino's Nonveg meal 589₹","Food"
"Myntra Shorts 899.99INR","Shopping"
"Fresh2Home fish 420","Groceries"
"Reliance Energy Bill 2,520","Bills"
"Narayana tuition 3,500/-","Education"
"Ola Share Ofc->HSR 97","Travel"
"Online Yoga class ₹610","Health"
"Book: To Kill Mockngbrd ₹285","Education"
"restaurant INDIAN GRLL 2,100rs","Food"
"Jio recharge 719.00rs","Utilities"
"Dr Govil gynae 1200","Health"
"BMS movie spiderman 590","Entertainment"
"Bigbasket JAM, Butter 295","Groceries"
"D-Mart GROCERY 771.04","Groceries"
"Keventers smoothie ₹210","Food"
